class,isosurface_points,isosurface_cells,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity,q25_intensity,q75_intensity,intensity_range,iqr_intensity,voxel_count,high_intensity_voxels,voxel_ratio,high_intensity_ratio,point_cell_ratio,cell_density,point_density
glioma,19766,39016,0.08568613272074597,0.018486147196425478,0.11470824687542784,0.0,0.7137255072593689,0.006521330678233827,0.15010829327036457,0.7137255072593689,0.14358696259213075,337117,1405,0.3214998245239258,0.0013399124145507812,0.5066126717244207,0.11573429996114108,0.05863246291346921
glioma,31834,63020,0.0665876570144246,0.0067272836135331,0.11606427289229489,0.0,0.8117647171020508,0.0,0.09243073422603774,0.8117647171020508,0.09243073422603774,255119,4394,0.2433004379272461,0.0041904449462890625,0.505141225007934,0.24702197797890396,0.12478098456014644
glioma,30424,60432,0.08234943723743957,0.015516495191587048,0.11869966282052795,0.0,0.8980392217636108,0.0038114540278096428,0.13679749030720242,0.8980392217636108,0.1329860362793928,320882,5445,0.3060169219970703,0.005192756652832031,0.5034418850939899,0.18833091292126078,0.09481366982255159
glioma,46584,92508,0.10374530014051023,0.02662830913087589,0.13317481790652907,0.0,0.9137254953384399,0.006299667286129584,0.18491622659542448,0.9137254953384399,0.1786165593092949,398729,8436,0.38025760650634766,0.008045196533203125,0.5035672590478661,0.232007202887174,0.11683123123725639
glioma,19734,38876,0.07309453285174347,0.0075054148417622564,0.1083606287605714,0.0,0.8392156958580017,0.0,0.13885017234455138,0.8392156958580017,0.13885017234455138,314235,1796,0.29967784881591797,0.001712799072265625,0.5076139520526803,0.12371632695275829,0.06280013365793116
glioma,42550,84336,0.09834781200306571,0.02018185004177728,0.13078932588175446,0.0,0.886274516582489,0.005030060021085976,0.17663500122369122,0.886274516582489,0.17160494120260525,372777,5792,0.35550785064697266,0.005523681640625,0.5045295010434453,0.226237133728744,0.11414330819766241
glioma,6086,11856,0.06746532507939844,0.007692434026712745,0.09549459705621427,0.0,0.7803921699523926,0.0,0.12906186717647328,0.7803921699523926,0.12906186717647328,309785,311,0.29543399810791016,0.00029659271240234375,0.5133265856950068,0.038271704569298064,0.01964588343528576
glioma,35662,70728,0.10253216396529882,0.019395618528862603,0.1337645640399594,0.0,0.8745098114013672,0.00403217862428812,0.18519008319229513,0.8745098114013672,0.181157904568007,386020,5858,0.3681373596191406,0.0055866241455078125,0.5042133242845832,0.18322366716750427,0.09238381431013937
glioma,32818,64872,0.10065235908114216,0.03430308579770093,0.1256900074501075,0.0,0.8274509906768799,0.0055458440711231615,0.17865396319341234,0.8274509906768799,0.17310811912228918,385499,4235,0.36764049530029297,0.004038810729980469,0.5058885189295844,0.16828059216755425,0.08513121953623745
glioma,1156,2272,0.05182923084234345,0.0055459358666990095,0.07858838031032765,0.0,0.8196078538894653,0.0,0.09475619407980465,0.8196078538894653,0.09475619407980465,254881,125,0.2430734634399414,0.00011920928955078125,0.5088028169014085,0.008913963771328581,0.004535449876609084
glioma,25852,51168,0.08947118412794597,0.03811453937292472,0.11320967815785378,0.0,0.8784313797950745,0.0022767427013459067,0.1509018014289627,0.8784313797950745,0.1486250587276168,366655,3598,0.3496694564819336,0.0034313201904296875,0.5052376485303315,0.13955353124872155,0.07050769797220821
glioma,38392,75832,0.10408762282204027,0.025361399140884935,0.13298574553039239,0.0,0.8588235378265381,0.0038253005670671578,0.18800856013917897,0.8588235378265381,0.18418325957211182,395508,4661,0.3771858215332031,0.004445075988769531,0.5062770334423462,0.19173316342526572,0.09707009719146009
glioma,18922,37116,0.09383987583967918,0.03337399046548799,0.11415977692656228,0.0,0.8196078538894653,0.0007650601315826337,0.17625802606068103,0.8196078538894653,0.17549296592909838,398046,1001,0.3796062469482422,0.0009546279907226562,0.5098070912813881,0.09324550428844908,0.04753721931636042
glioma,16982,33424,0.07800588283264066,0.016548314170711346,0.10756363281564314,0.0,0.7803921699523926,0.00038484452728808154,0.13682992533279364,0.7803921699523926,0.13644508080550558,328030,852,0.3128337860107422,0.000812530517578125,0.5080780277644806,0.10189311953175015,0.05176965521446209
glioma,17282,33888,0.06445739416246218,0.006299667286129584,0.10367033684429594,0.0,0.8784313797950745,0.0,0.11066132444580859,0.8784313797950745,0.11066132444580859,274328,871,0.26161956787109375,0.0008306503295898438,0.5099740321057602,0.12353095564433816,0.06299757953982095
glioma,10538,20576,0.08406988714230475,0.0269091344541324,0.10541689885262487,0.0,0.729411780834198,0.0017262409097068621,0.14974026115688366,0.729411780834198,0.1480140202471768,362631,482,0.34583187103271484,0.0004596710205078125,0.5121500777604977,0.05674087433231025,0.029059843201491322
glioma,4256,8304,0.054108336241807074,0.003545056261115495,0.08671235199282905,0.0,0.6470588445663452,0.0,0.0980418082618832,0.6470588445663452,0.0980418082618832,259668,113,0.24763870239257812,0.00010776519775390625,0.51252408477842,0.03197929664032534,0.016390159742440347
glioma,6684,13096,0.05677653471198466,0.004357413850003616,0.08596055853240875,0.0,0.729411780834198,0.0,0.10886881758902885,0.729411780834198,0.10886881758902885,277519,275,0.2646627426147461,0.00026226043701171875,0.5103848503359805,0.04718956179576894,0.02408483743455403
glioma,13766,27144,0.08995061908484589,0.025198669144518335,0.1130781714592658,0.0,0.7960784435272217,0.0,0.16591456543287522,0.7960784435272217,0.16591456543287522,377821,1122,0.3603181838989258,0.0010700225830078125,0.5071470674918951,0.07184354495912085,0.036435243144240265
glioma,42694,84960,0.10479694873761428,0.04700214003479474,0.12764735155071336,0.0,0.8784313797950745,0.012125654887494739,0.16946722638598744,0.8784313797950745,0.1573415714984927,394685,9267,0.3764009475708008,0.008837699890136719,0.5025188323917138,0.2152602708489048,0.1081723399673157
glioma,60196,119720,0.12582946478150012,0.06847279748914373,0.14227865486704766,0.0,0.9411764740943909,0.013834059866733835,0.2107450032103747,0.9411764740943909,0.19691094334364087,462148,11888,0.4407386779785156,0.0113372802734375,0.5028065486134313,0.2590512130313233,0.13025264633840242
glioma,23104,45552,0.08141006810046,0.016066262309005253,0.11651259256868807,0.0,0.8588235378265381,0.0007696890545761623,0.14049667375005245,0.8588235378265381,0.1397269846954763,316704,1601,0.302032470703125,0.0015268325805664062,0.5072005619950826,0.14383146408002426,0.07295139941396382
glioma,8684,17040,0.08059699497396262,0.00760808871028397,0.11095790447083903,0.0,0.8078431487083435,0.0,0.16340301652935255,0.8078431487083435,0.16340301652935255,342233,495,0.32637882232666016,0.00047206878662109375,0.5096244131455399,0.04979063971037276,0.02537452554253973
glioma,12630,24824,0.0833427368995315,0.02729104820975468,0.10328447617926788,0.0,0.7764706015586853,0.0015375238608030567,0.150330776531587,0.7764706015586853,0.14879325267078394,362071,939,0.34529781341552734,0.0008955001831054688,0.5087818240412504,0.06856113856122142,0.034882661135523144
glioma,26868,53148,0.05768726283980798,0.0037527074208811282,0.10278171286457662,0.0,0.7921568751335144,0.0,0.08191047429591376,0.7921568751335144,0.08191047429591376,238390,2108,0.22734642028808594,0.002010345458984375,0.5055317227365094,0.222945593355426,0.11270606988548178
glioma,7248,14180,0.0723859685579758,0.00944950055517172,0.09995806876630986,0.0,0.8980392217636108,0.0,0.1425006183203183,0.8980392217636108,0.1425006183203183,326667,638,0.31153392791748047,0.0006084442138671875,0.5111424541607898,0.04340811897130717,0.022187732461497488
glioma,42246,83732,0.0856855233051575,0.01009092502088864,0.13506138895525527,0.0,0.8823529481887817,0.0007696890545761631,0.13944502616673488,0.8823529481887817,0.1386753371121587,302892,5134,0.2888603210449219,0.0048961639404296875,0.5045382888262552,0.27644176802292564,0.1394754565983915
glioma,28968,57164,0.08391236124268724,0.01449222881801699,0.12175897521551074,0.0,0.8588235378265381,0.0,0.14919060670468304,0.8588235378265381,0.14919060670468304,324622,3411,0.3095836639404297,0.0032529830932617188,0.5067525015744174,0.1760940416854064,0.08923609613642945
glioma,34084,67464,0.09782541547297804,0.01951342670376551,0.12589256963418374,0.0,0.8705882430076599,0.007692434026712745,0.1728696095373918,0.8705882430076599,0.16517717551067906,378644,5224,0.3611030578613281,0.00498199462890625,0.5052175975334994,0.17817263709447395,0.09001595165907818
glioma,32768,64856,0.1058834847635399,0.05545843983318675,0.11918459510367412,0.0,0.8235294222831726,0.012125654887494737,0.17754176066669364,0.8235294222831726,0.1654161057791989,420496,3051,0.4010162353515625,0.0029096603393554688,0.5052423831256938,0.15423690118336442,0.07792701951980519
glioma,27838,54772,0.14230087562175062,0.11772746203859621,0.1300627167742981,0.0,0.9058823585510254,0.017318003133891827,0.2386375306477757,0.9058823585510254,0.2213195275138839,560666,2529,0.5346927642822266,0.0024118423461914062,0.5082523917330023,0.09769096039353198,0.04965166427070662
glioma,15234,29812,0.06373664229395583,0.007833690315866042,0.10144054068692022,0.0,0.8470588326454163,0.0,0.10113922648629074,0.8470588326454163,0.10113922648629074,264194,960,0.2519550323486328,0.00091552734375,0.511002280960687,0.11284132115036677,0.057662172494454836
glioma,39430,78384,0.08709305376632684,0.0078053708668738035,0.1286391299238812,0.0,0.8784313797950745,0.0003843809652007642,0.1537770798163509,0.8784313797950745,0.15339269885115012,337246,5005,0.3216228485107422,0.004773139953613281,0.5030363339457032,0.23242380932612988,0.11691762096511152
glioma,1196,2312,0.062025789710895424,0.01401645449748202,0.08017516805977017,0.0,0.572549045085907,0.0007650601315826351,0.11412132433037553,0.572549045085907,0.1133562641987929,296014,0,0.2823009490966797,0.0,0.5173010380622838,0.007810441398041984,0.004040349442931753
glioma,12842,25248,0.08428728590511589,0.02834850241356047,0.10375262907028533,0.0,0.7803921699523926,0.002178706925001808,0.1518449294555334,0.7803921699523926,0.1496662225305316,364359,963,0.34747982025146484,0.0009183883666992188,0.5086343472750317,0.06929429491243526,0.03524545846267006
glioma,44508,88560,0.0808585733244207,0.0058113817190122,0.13420360238704424,0.0,0.8980392217636108,0.0003843809652007642,0.13318944086449572,0.8980392217636108,0.13280505989929495,297603,8453,0.2838163375854492,0.008061408996582031,0.5025745257452574,0.2975776453866392,0.14955494400258063
glioma,50138,99724,0.14026263029110256,0.09892451228798793,0.1343544462688623,0.0,0.9490196108818054,0.03344114292268229,0.22083250118207653,0.9490196108818054,0.18739135825939424,522089,10323,0.49790287017822266,0.009844779968261719,0.5027676386827644,0.19100957882659853,0.0960334349124383
glioma,31332,61824,0.08148456561659587,0.007833690315866042,0.1220815134981679,0.0,0.8823529481887817,0.0,0.14754842834703322,0.8823529481887817,0.14754842834703322,318783,3727,0.3040151596069336,0.0035543441772460938,0.5067934782608695,0.1939375688164049,0.09828629506592258
glioma,44156,87608,0.0938072735360154,0.018413237099024673,0.12976554908065285,0.0,0.886274516582489,0.0013469557769615363,0.15958810930808384,0.886274516582489,0.1582411535311223,358046,6268,0.3414592742919922,0.005977630615234375,0.5040178979088668,0.24468364400105014,0.12332493590209079
glioma,30134,59676,0.09893297500702243,0.0481987854734796,0.11723292861130942,0.0,0.8705882430076599,0.007384659771490037,0.17370774963846136,0.8705882430076599,0.16632308986697134,413188,5297,0.3940467834472656,0.005051612854003906,0.5049601179703733,0.1444282021743129,0.07293048200818998
glioma,29510,58288,0.08635859044625817,0.017414717748143745,0.12032827114512352,0.0,0.9215686321258545,0.0,0.14819022727919826,0.9215686321258545,0.14819022727919826,344349,3456,0.3283967971801758,0.0032958984375,0.5062791655229206,0.16927013001344565,0.08569794017116356
glioma,12964,25496,0.0764741898105506,0.02295180267563486,0.10088638468710477,0.0,0.8078431487083435,0.0011531428499595023,0.1314235662699119,0.8078431487083435,0.13027042341995237,329444,689,0.3141822814941406,0.0006570816040039062,0.5084719171634766,0.07739099816660798,0.03935114920897027
